,review,vote
10,"Mike the chicken guy, Silvia and Angel were awesome!! They always took care of us and got us whatever we wanted and we fast. We went twice within three weeks because the service and food was great!!!",5.0
11,"The food and service was great!! Whatever I needed they were prompt and happy to bring it over!! Especially Silvia!! She was great, kind and was quick to get what we needed!! We've been going here since this place open but tonight was exceptional!!",5.0
12,"This is an update to my update, regarding the San Diego Fogo de Chao Father's Day mishap.  The one star review is specifically for Father's Day 2023.  Service has always been great.  The issue that day was the over booking and the absence of food on that day at about 2:45 pm. I last stated that due to the Father's Day mishap review, I received a call from Fogo.  Fogo told me that they apologize for the mishap and offered a brief explanation.   That is all I would expect.  They also told me that I would be receiving 4 gift cards to make up for it.  I never received the gift cards, so that is why I made the first update.  I stated that it would have been better to just apologize and not offer the gift cards, than offer the gift cards and never send them.  Today 08/03/2023, I received and call from Fogo.  They said they heard I never received the gift cards as offered during the first call.  They immediately sent the cards while I was on the phone with them.  The cards are appreciated, a lot.  Fogo made things right, since they made the offer.  Way to go Fogo SD.",5.0
13,"Hi Mario, we're happy to hear that our team was able to make this right with you. Our guests' satisfaction is important to us and we hope to have a chance to earn your complete five stars on your next visit. Thank you. ",5.0
14,"This review is an update, to my Father's Day review.  *See Father's Day review.   I received a telephone call from a female manager from Fogo, but the call went to voicemail.  I called the number back and spoke to the manager.  She was very kind and listened to my concerns.  The manger explained how the problem stemmed from Open Table.  The manger apologized and advised me that she would make it right.  The manger asked how many people were in my party on Father's Day.  I informed her that it was me, my wife and two of my sons.  The manager stated she would send coupons for free meals, for me and my family that accompanied me on Father's Day.  The coupons were for free meals, good at any Fogo restaurant.  Well, Father's Day was a long time ago.  I still haven't received any follow up email, call or contact in any way.So... I had a bad Father's Day and I received ""LIP SERVICE"" (false promises) afterwords.  Sad...I was hoping to update my review with good news.  Sad to say, I cannot.  It would have been better to respond to the review with an apology or explanation, rather than false promises.  No big deal.... I just won't spend my time or money at Fogo San Diego.",1.0
15,"This rating is specifically for today.... Father's Day 06/18/2023.  I love Fogo de Chao, but today was horrible.  My wife made Father's Day lunch reservations for 2:00 pm.  When we arrived, there was a large group of people outside waiting.  We checked in and they could not give us a wait time.  After over 30 minutes, I noticed tables in the bar area, where I have never seen tables before.  The tables were empty.  Nobody was actively being seated there, at that time.  I asked if our party of four could sit there. The staff member said we could sit there and escorted us in.  I asked if we could immediately go to the self serve area and begin grabbing our sides.  They said we could.  We walked over and grabbed a plate.  I noticed the self serve bar area was empty, meaning the trays were bare and no food was available.  The hot plates did not have any food there either.  I put my plate down and told my family that we were leaving.  How can I have a satisfactory time eating, when there is no food???    I have never been to Fogo De Chao and received bad service.  Nor, have I ever been there when the self service bar had NO FOOD!!   This was sad.  The manger should be reprimanded for this.  I believe the restaurant was DOUBLE OR TRIPLE BOOKED.  This was poor management of the facility.  The reputation of the restaurant was tarnished.  I should have taken pictures, but I was not happy and I just wanted to leave. Pictures would have been great. I believe that the next time I go to the restaurant, it will be better.   Way better!!!! The service will be great and there will plenty of food.  So much food that I will have to turn the red side of my card up.   Again... this rating is specifically for Father's Day 06/18/2023.",1.0
16,"Last night was my first night going to this place. I have been to other Brazilian Steak Houses, but never this one.I give the place a 3.5.  The restaurant is pretty.  The service was excellent. Thank you Matt! The food was just ok.  The salad bar was a little underwhelming.  Although the meat selections were plentiful, some of the meats could have used a bit more flavor.  The mashed potatoes that came with our meal were pretty good thou. All and all we had a nice experience, but I see this place as a one and done for myself.",1.0
17,"Erica, while we're glad you enjoyed the service and atmosphere, or sorry to hear that your meal was underwhelming. We value your honest feedback as it helps us improve and we encourage you to send us an email at feedback@fogo.com to further discuss the details of your visit. Thank you and we hope to work towards a chance to earn your complete satisfaction. ",3.0
18,"I would rated 2 stars, but Mike bumped it up 1 star. Only thing great about this place is Mike The Lamb Guy! He is usually chicken, but tonight he was lamb. He helped us get the specific meats we wanted since we kept getting the same 4 meats... the drinks were mid. The meats were mid. Our actual server we saw like 2 times. But Mike was able to attend to us.When we got there we got a drink at the bar. The bartender seemed like she was still training. It took forever to get our drinks, and by the time we got them we were called to be seated already.Most of the servers didn't seem like they wanted to work there. Only Mike seemed happy to be there. We went here for our anniversary, and in the beginning they said we would get a dessert. But we were there for so long, we didn't bother getting a dessert. Overall, only come here for one reason: Mike.",4.0
19,"Audrey, your anniversary celebration should have been amazing and we're sorry that we missed the mark for you. Please allow us a chance to address your comments personally and work towards making this right. If you are willing, please send your phone number and availability to feedback@fogo.com. Thank you. ",0.0
20,"I used to go here for every occasions from birthday to wedding anniversary but Covid happens, so I stopped and waited for so long, I finally remember I had a $15 promo card from Yelp Elite so I can use it toward lunch. Getting here was not easy as usual it's located in downtown and it's lunch time so parking will be tricky, but dinner could be worse when it's night time and everyone going downtown for clubbing and food or games.Anyway I am too familiar with the concept of Fogo where you paid a fixed price then have the staff bring out variety of meats and you get to use the tongs to hold the meat while they cut it to your plate. The meal included a salad bar and some basic meats but you know which one you would like. I used to go for the fatty meat like Picanha and since I went here when I was still overweighed, I already stuffed myself with everything they brought out mostly sausages, bacon wrapped chicken, not the good quality meats, then I felt they might be did the meat rotation out of order on purpose, so that you get full faster, and most of the guys who cut the meats were not very friendly or chatty, they always seem a bit rushed, not sure why, maybe still trying to be nice to them or you might get a tough chewy cut LOL, so only your server will be your friend in this case.Then later I found out if you wanted specific meats, you can ask, it's not always guaranteed you would get it right away but at least I learnt from eating slower and growing more patiently. So I get to try all that I missed in the past including lamb chops, lamb sirloin, a better cut of steaks where inside still a little pink but it tasted so juicy and sweet, it melted in my mouth, I get to try the plantain I normally skipped, caramelized pineapples also cool, explored a bit more on the salad bar which I usually went straight for meats.Overall the experience was pretty pleasant, drinks and desserts are separated, they also have appetizers and a la carte items for order.At the end they didn't honor my $15 because they said it was expired, yes I noticed, but as many promos or coupons etc in my past experience they can't be voided until redeemed even if it was expired, let alone it was little over 6 months, they tried to avoid this by giving me a 10% discount which is fine to me. The total came out to about $50 for lunch, I paid more when I go to buffet to the casino, but I will let this one slight, inflation really made everything higher in cost, but people earning still the same, very unfortunate, but I did miss the time when fogo lunch was $35 per person and dinner for two only $65, and it was just 7 years ago. Well fogo stood still over time, I can't drive to Vegas or Los Angeles, guess I am sticking with this location :) until next time",4.0
21,"Gary, we are disappointed to hear that your visit wasn't up to par, as we should always be delivering top-notch experiences. Our team would like to speak to you further in hopes of understanding how to make this right. If you are willing, please send your phone number and availability to feedback@fogo.com and we will be in touch. Kind regards. ",3.0
22,"18$ lunch price for an extensive unlimited salad bar might be the best deal in sd. Plenty of plant based options, which are clearly stated on little name cards. The hummus says vegetarian but after asking the server they had clarified that it was vegan.Great for groups with people of different dietary preferences. Our group consisted of three salad bar and two full menu. Some of their cocktails have happy hour deals which is ALL DAY  I'd suggest trying the Brazilian soda, it's refreshing and sweet. The strawberry hibiscus  caipirinha was also good (super sweet).overall great experience for this first timer.",3.0
23,Costumer service of big mike is above and behind. Best server here and deserve a promotion!!!,5.0
24,"Food was awesome as always, my favorite was the pão de queijo and the cheese with honey. Steaks were great too. Service was awesome as well as the ambiance.",5.0
25,We came here for my son's birthday. Everyone was wonderfully and we had a special connection with Jose - he is just lovely all around. We couldn't have asked for a better time. Thank you Fogo!,5.0
26,I have been coming here since it opened. My last two experiences were very disappointing. When I was there on Saturday to celebrate my son and my birthdays. We were well into eating before a server even came to our table. I had to ask every time we needed a water refill and the meat service was the slowest it's ever been. We wanted to continue eating but finally after 30 minutes of no meat brought to our table we gave up and left. Last month I ate at the location in Las Vegas and had an amazing experience. Unfortunately the San Diego location has gone downhill drastically with Service and I'm very disappointed as it was one of my very favorite places to celebrate in San Diego.,5.0
27,"Kylie, we love being your favorite restaurant to celebrate any special occasion and we are sorry to hear your recent visit left you disappointed. Please know your feedback will be addressed with our team and hope you give us a chance to regain your support. When you have a moment, kindly send an email to feedback@fogo.com with your phone number and availability. Thank you. ",3.0
28,"First time trying Fogo de Chao and I loved their concept! I really like how interactive, interesting, and fun dining at this restaurant was. I loved the dark and romantic ambiance this place had. The bar was filled with great sides to choose from that is available throughout your meal. The runners come over to your table to serve cuts of meat. Unfortunately, I waited over 20 minutes for our server to help us out. I ended up just going to the bar to grab the sides. When the server finally came and helped us out, they forgot to give us utensils so a runner had to grab it for us. The meats came over very slowly and I got full from just waiting. I really liked the overall vibe and concept of this place, but service could have been better.",4.0
29,"Fogo de Chao $39 special (B-)So I went for this yesterday with my wife & daughter. It's a fun experience - haven't had buffet in a long time - and for $39 / person, it's a decent value. But don't expect very high standards for ambiance, service or food. I'd give it a B- overall, so not bad, but not great. The ambiance is hectic and loud. The one I went to in Kansas was quite different - much ""higher end"". But I think a big part of that is driven by how busy they were, and how tight the tables were bunched together. I had 6:15pm reservations, but don't think we were seated till 6:30pm. And I had to explicitly tell them I want the $39 menu, meaning there are a few meats I don't get. In hindsight, a great decision Salad bar had some good items, but overall, probably the weak link in terms of food. It was messy, depleted items weren't readily replenished (like soup & bread), and can't say the food was very tasty overall. Not bad, but overall, can't consider it ""good"" either.As for the meats - I think I tried everything except for the bacon wrapped chicken. The good, ranked: 1) Lamb (B+) nicely seasoned and cooked2) Pork ribs (B) good crust, appropriately seasoned3) Picanha (B) nicely seasoned, full flavored meatThe majority of meats, however, were overcooked and under-seasoned. Fun to be served, but the eating was pretty underwhelming. Essentially, all other meats were C to B-, mostly falling into the C+ category given meats are supposed to be their specialty. I actually didn't take pictures because it was too hectic, dark, and difficult to tell what's what by just looking at a cut piece of meat. Conclusion: reasonable to try out - it's kind of fun - and probably better to go on a week night than weekend. Manage your own expectations for the food and you should be fine. But if you're after good tasting meat, I feel you get a more satisfying meal eating Korean BBQ, essentially at the same price.",3.0
30,"It is disappointing to know that we did not meet your expectations, Tommy. Your satisfaction is our goal and we encourage you to send us an email at feedback@fogo.com to discuss your experience personally. Thank you and we hope to have an opportunity to impress you in the future. ",3.0
31,"This was an interesting experience that I have never had before. The model is an all you can eat steakhouse where they come around with steaks on skewers and cut you off different pieces. I did really enjoy it and had a nice time. The salad/vegetable appetizer bar area had a lot of unique and tasty options. My only issue with the whole thing was that for the same price I could have ordered a fantastic filet mignon meal at a normal steakhouse cooked to perfection. While some of the steak that was brought around was good, I would say the majority of it was not exactly my favorite. Tougher, lower quality cuts of steak was what they brought around the most and it took me eating pieces of all of them to really figure out what all the different options even were being that they had a lot of random cuts and preparation methods, some of which were Brazilian style.",4.0
32,"We aim to serve high-quality cuts, Jake, and we are saddened to hear that you were not impressed. Your feedback is important to us and we would like to learn more about how we can earn your complete satisfaction in the future. If you are willing, please send us an email at feedback@fogo.com with your contact information and availability. Thank you. ",4.5
33,"I'm not happy for today visit.The waiting time was too long. They're over booking for the table, The meats came late and don't have variety. They kept to come back with the same meat.And last on their website , dinner at $39 dollars, they charge me for the full price which is $66.50 per person.For the table of 7This is what I end up to paid for So sad, this is my first time to come here. I don't think I want to come back in the future",4.0
34,"We are saddened by your feedback, as we always want you to have an excellent experience here. We would like to learn more about the details of your visit and work towards earning your complete satisfaction in the future. If you are willing, please send us an email at feedback@fogo.com with your phone number and availability. Thank you. ",0.0
35,"When you are in a Brazilian steakhouse, and the plates are not necessarily cheap to dine here, you expect superior service. The etiquette when you are dining is you flip your card over to green, that means that you want served meat or whatever they are bringing around the tables. Why is it that I have to ask continuously for service after I've been sitting for quite some time waiting. This is unacceptable. I've dined  here twice hoping that the service would be better. I am completely disappointed in This place and I will not dine here again.",4.0
36,"Providing attentive and efficient service is always our goal, and we are sorry to hear we missed the mark. Please know our team appreciates your feedback and we hope you give us another chance to earn your 5-star level of satisfaction. When you have a moment, please send your phone number and availability to feedback@fogo.com and we will be in touch. Thank you. ",2.0
37,"Decided to visited this place since we're in San Diego and stayed 5 blocks away.Made a reservation through Open Table at 6 pm on Saturday.We got seated right away.The vibe are like cozy and warm.We were gonna dress up but so tired from a long day at Safari Park,So we decided to just go with what we are already wear and they treat us just like everybody else,Great service! All of the staffs are so nice! Everybody came by so often to make sure our empty plates got taken away and drinks always full.Love it! Let's talk about the most important part! The food! We did all you can eat and it's well worth it! The meats keep coming non-stop! Don't miss the pork ribs and everything that wrap in bacon! They are so good! Those grilled pineapple are awesome! Don't forget to visit their salad bar which is awesome and I think my favorite in that salad bar was fresh watermelon with jalapeños and blue cheese! It's amazingly good! I went back for it 3 times! Overall this place is well worth it.",2.0
38,"This place was quite a let down after seeing so many positive reviews. The meat servers were pretty condescending. I simply asked what kind of cut this is because some of the servers just throw a piece of meat at you and don't speak. I simply wanted to educate myself on what kind of cut it is, and they were so rude and said it's beef, well of course I know it's beef, there's various cuts of beef. To state the obvious and be so rude about it was so offputting. I also asked for beef ribs because it was on the menu but they never offered through like 3/4 of my time there. And when they finally serve me a slice, it was literally the end cut that was full of seasoning and super lean and dry and they wonder why I didn't eat it? They really think they can just give awful cuts and expect customers to pay a premium for it. We wanted medium rare cuts and the majority was like medium to well done. When we asked for medium rare section, they just ignored and cut whatever piece they felt like which was usually not well done. This the first and last time I will ever dine here. I was expecting great quality medium rare cuts and customer service and we got neither of them. I brought my parents to come here too and I was so embarrassed at the quality of the meats and the awful customer service.",5.0
39,"We never want to hear that we let down one of our guests, and we truly apologize for this experience. We would like to speak to you further in hopes of understanding how to make this right and regain your support. Please send us a note with your phone number and availability at feedback@fogo.com. Best. ",1.0
40,"Had reservations for 7:45, was seated at 8:15, zero meat for half an hour, ridiculous restaurant.  We had to just leave.  The customer service person who was actually cooking our food came to make things right, the server was empathetic but appeared helpless.  Terrible experience.  Do not recommend at all.  Got up and left after paying the tip to the server.",1.0
41,"Nassim, providing prompt and efficient service is what we strive for and we're truly sorry to hear about your experience. We would like a chance to speak with you personally and work towards making this right. When you have a moment, please contact us at feedback@fogo.com with the best way to reach you. Thank you. ",4.0
42,"3.5 for sure!The chicken was really tasty, but all of the steaks were pretty bland. Thankfully, they had A‐1 and hot suaces. They offered a warm cheddar cheese with warm honeu-this was AMAZING!The mashed potatoes were very runny, and I wish there were other warm sides. Oh, th chicken salad (salad bar) was delicious!As for the service: PERFECTION.Ambiance: Very clean and welcoming!",1.0
43,"Where do I begin, our reservation was for 6:15pm and we were sat down accordingly. One thing I will say is that they are pushing their maximum capacity and the tables/chairs were back to back with barely any walking room. The place was extremely crowded for a Sunday night but we tried to make the best of it since we were celebrating our anniversary before we get married in 7 months. Our server took our drink order and explained the buffet/experience. We went through the buffet and we're confused by what was offered but we grabbed some items as the meat was our main focus for dinner. Once our server brought us bread, mashed potatoes, and our drinks, he completely disappeared. We were offered 3-4 meat options and took what we wanted but after that, this is when the night went down hill and was ruined. Not one server came to our table to refill our drinks/water or clear our plates. We kept trying to make eye contact with the servers to get more meat but as soon as they looked our way, they zoomed to the back of the room and never came to our table. We even tried to wave over a few of them and they only went to certain tables that large groups. At one point, I asked a bar back if I could have another glass of wine and if they could send someone over with a meat option. He brought me the glass of wine and said someone would be over but after 30 minutes, we still didn't have anyone come close to our table. Even the table to the left and right of us were upset by the poor service and felt that the other side of the restaurant with the large groups were getting all of the attention. Eventually I asked a server who walked by if we could speak to a manager because we were starving and only had 3 pieces of meat at this point. He said he would send them over and refilled our waters. I believe a manager came over with meat soon after but didn't state she was management. She only asked if we wanted meat and then left. We accepted the meat but after waiting so long, we lost our appetite and just wanted to leave. We asked another random server for the check and she brought it over right away. As we were waiting for our card to be returned, no manager came up to us but 4 other servers with meat swarmed our table asking if we wanted more. At this point we were even more annoyed and declined as we were already there for 1.5 hours. The server who we asked to get a manager did check on us again and asked if they came by our table but I let him know that no one had come. I told him we were leaving and he apologized but it was a little too late. I've had this restaurant on my visit list for a year now and was so excited to try it but was completely let down by the service, noise level, and packed room. It's unbelievable how many servers and people they had running around without even serving the guests. I will say that the restrooms were clean and nice. The meat that we did have was good but not amazing. I don't think we will come back since it was such a special night that was ruined. Especially since we paid almost $200 for a few pieces of meat and a few glasses of wine. Such a let down to be still hungry and leave to go eat elsewhere!",3.0
44,"Our team is disappointed that you did not have a memorable experience with us, Elyssa, especially during this special occasion. If there is anything we can do to work towards your complete satisfaction, we encourage you to email us at feedback@fogo.com with your phone number and best availability. Thank you. ",5.0
45,"The food was good all you can desire meats are nice and hot top-notch salad bar hot greasy table sides . We have been coming in for years Always been a nice experience for sure   However today I was surprised to see something. New shrimp cocktail are offered table side not big on it... when in Rome ...   At a buffet we tend to try stuff..why not .To our surprise this is a New Add On....No indication of that and of course . I have always known that and Happily add on Add  on countless drinks and if i'm craving sweet why not...  There was no indication of their being an up charge....  Iif it wasn't over 50% of what I paid for my food I wouldn't be as offended . Meal was $45.50 each and  The Surprise 5 shrimp cocktail a wapping $26 They usually come to your table with all the meats, and they ask if you want any sides no additional charge.  They will come with the menu if you want any of the drinks and dessert clearly stating how much .That is  how it has has been in the practice Always.  Service was as expected very nice  food was good  dinks are part of why I kept coming back. Hopefully  you enjoy it as much as we had through out the Years.",5.0
46,"Christina, please know we value your support and apologize for not earning your complete satisfaction. We'll be sure to address these comments with our team to make improvements and hope you'll give us a chance to make this right. When you have a moment, please share your contact information and availability at feedback@fogo.com. Thank you. ",4.0
47,"I've been here 2 times and the most recent was very busy since it was Valentine's Day weekend. Luckily my husband made reservations and most of the parties waiting were bigger. The hosts even sat us down quicker since another 2 top cancelled! We always prefer the Churrasco Experience for $65 each for CONTINUOUS TABLESIDE SERVICE OF SIGNATURE CUTS OF FIRE-ROASTED MEAT Yum!!!! The employees walk around with different types of meet and approach depending if the card on your table is green. You either say yes or no to the meat. My favorites are the PICANHA, Bone-in Ribeye, FILET MIGNON, and lamb chops. I always get so full and can never get around to dessert! One day I will lol. Also recommend these drinks nonalcoholic Guaran- Antarctica Orwith alcohol STRAWBERRY HIBISCUS CAIPIRINHA",4.5
48,Food was fabulous!Ambiance perfect!But Andrea our server was the best! She helped us with whatever we needed or wanted and was super polite.,4.0
49,"The food here is delicious , as a vegetarian I really appreciate their variations of salads. The service for those meat eaters is efficient, you'll have a server come and offer their meats every couple minutes. The restaurant will always be busy but even on a busy day you manage to enjoy yourself. They're willing to accommodate any party side . My last visit we had a party of 25 and we're seated upon arrival. I would say this restaurant is a girl dinner kinda vibe. I would definitely be returning forever .",4.0
50,Mike the chicken guy was our favorite server! He remembered our favorite cuts and in general was incredibly nice and attentive.,0.0
51,"Absolutely nothing makes up for time wasted at a location that carries a name that is recognized globally.To make a reservation for my wife and in laws for their birthday to celebrate. Only to be met with service that would have been trumped by outback steakhouse. In fact maybe Chick fila, on a Sunday at that.Waiting 30 minutes for a high chair? Forgetting whos at the table? Waiting hours for meat and filling up their stomachs on the charcuterie, and salad. My in-law had mentioned his favorite choice of meat was the romaine! Just because a fresh cut was brought out doesn't justify the time wasted.Their first time at that! A first experience at what should be considered world class. If you're attempting to go here, especially military in area. Don't expect the type of service and standard that should be given at this sort of establishment.Unreal and in many ways unforgivable. Waiting nearly half an hour just to pay? Big mistakes were made today. If you're planning to go here and aren't a party of 7+. I'd wait until they've got some sort of training going rather than handing out meats that take time to prepare. I hear they were passing it out like it was the Oprah show.Congrats to anyone that went here today and received whole picanha! That covers your bill and then some, I'm sure plenty was wasted. Just like my family's time was.",4.0
52,"Please know we value your time, and it is never our intention to inconvinience our guests in any way. We will be reviewing your feedback with our team and hope to have another chance to better meet your expectations. Kindly send an email to feedback@fogo.com with your phone number and availability. Thank you. ",4.0
53,"My girlfriend & I had the afternoon off so decided to go in for lunch. The hostess that greeted us was very welcoming. We were a little early for our reservation so we waited at the bar. I ordered the Strawberry Hibiscus Caipirinha. The bartender was very friendly. He took the time to explain to us that Caipirinha is Brazils national cocktail. For lunch we both ordered the Gaucho Lunch. There were plenty of of fresh, yummy options. There was even very delicious watermelon juice provided. Our waiter, Javier checked on us often. He answered all of our questions & provided us excellent service. I will definitely be back to try dinner & brunch.",5.0
54,"*****8/7/2023*****As requested below, I've sent emails to Fogo about what happened, and they have yet to get back to me.  I guess they don't feel all that bad after all. Pretty disappointed in this place.",2.0
55,"My Family and I have been going to Fogo de Chao since they opened here in San Diego.  A lot of our celebrations have celebrated at this restaurant. We have always had the best service and best time, but this past Sunday on Father's Day was not one of those times. It was awful.We had a reservation, and we had to wait over an hour for our table. Once we got in, there was barely any food at the salad bar, and we waited at least 30-40 min before any meat came to our table. There was just so many people, it was difficult to walk to get back to our table let alone the salad bar. It was just all around bad and poor planning on their part. And then at the end, it took them forever to bring out our bill and pay for it. I was definitely not worth the $66.50 per person. The only reason I gave this place 3 stars was because the staff was really trying, but they were all so over-worked and stressed that our waitresses and waiters just disappeared and forgot about us. And I know that Management really screwed them over with for their lack of planning. Definitely a Father's Day to remember in a bad way. I will probably steer clear of this place on Father's Day moving forward.",5.0
56,"Ambience: Came here for a date night with my SO and definitely would come again. The dim lighting really set the mood and it felt very intimate. We're both big foodies from Hawaii so we really appreciate a good spot.Food: My favorites of the night: Costala, picanha, filet mignon, the cheese bread, a grilled cheese with honey, caramelized bananas, grilled pineapple. My SO's favs: bacon wrapped filet, bone-in ribeye, picanha, the cheese bread, and the caramelized bananas. The help yourself appetizer bar was alright. The beets and orange slice combo was surprisingly refreshing. I also liked the roasted garlic and mushrooms to eat with my steak. The garlic butter steak(?), eggplant and sliced cheese were my least favorite. Didn't take pics of the meat because we were indulging the whole time but it was GOOD!Service: The night started off a bit slow, but after the manager checked in with us, the meat came very promptly. ""Mike the chicken guy"" truly made our experience over the top here though. Not only did he attend to our table frequently, but he remembered both our preferred temp for the meat selection. He also honored any additional requests for certain meats that we wanted to try that weren't already circling around.",1.0
57,"Came here with great expectations because I had heard great things! They were very accommodating and got us a table even thought we didn't have a reservation.However the table that we got was in the back against the wall, so they were rarely coming by with any food. Our waitress was on top of it however and apparently put in the order for them to come by, after about another 10-15 minutes of waiting again no one came by, I think by that time we only had 2 types of meat. So she again came by apologized and said she's going to let the manager know. After that they had brought the meats we were finally waiting for (ribeye and fillet).When meat did come it was good! A little on the rare side which wasn't a problem for me but a little for my fiancé. The sides were good, the salad bar I would ignore. Overall I took it down two stars because of service (frequency of the different meats) and the salad bar was not impressive at all.",3.0
58,Our guests should always receive a consistent variety of cuts and we are sorry to hear that we fell short during your visit. Your satisfaction is our goal and we encourage you to send us an email at feedback@fogo.com to discuss your visit personally. Thank you and we hope to have a chance to earn your complete satisfaction in the future. ,5.0
59,"Cant go wrong here came for my daughter bday has res at cowboy star ( very good ) but was so happy with service we had on xmas day . Food always good a bit slow on the lamb , Joel was on point tho asking ""meat servers ""to come by again fantastic service food always great the day we came staff had lots of accidents but all way good no one was hurt just people taking advantage of a simple mistake overall will be back.",3.0
60,"Ame here on xmas day , was very lucky we went early .Food was amazing great service they were so busy but kept our table clean everyone was super helpful I had not been here for some time but now I will definitely be back !",4.0
61,"Update:I had the General Manager reach out to me personally and comment on my review in order to rectify the lack of service in my previous visit and it seems like theatre. The GM genuinely did not care to make amends and basically wasted my effort in attempting to go back. For those that have had a poor experience, don't expect to have a proper follow up.",4.0
62,"Veronica, thank you for reaching out to us and giving us a chance to discuss this in greater detail. It's always important that we work through our guest's concerns in a timely manner. Our team has made multiple attempts to reach out and unfortunately, we have not heard from you. We encourage you to check your spam folder or please reach back out to our team including your phone number. Thank you. ",1.0
